price,title,location,bhk,bathroom,area
18500,2bhk furnishesd,"Airport Road, Mohali",2,2,1000
25500,3bhk filly furnished brand new flat,"Sector 117, Mohali",3,3,1785
23000,2BHK SEMI FURNISHED INDEPENDENT KOTHI FLOOR  AIRPORT ROAD,"Airport Road, Mohali",2,2,1150
22000,2bhk furnished with 2Ac Family working Shimla Appartment sec 126 Kha,"Sector 126, Kharar",2,2,1050
18000,2Bhk independent rooms,"Garden Colony, Kharar",2,2,1700
12000,2bhk Ground floor Avlb rent 12kDara green scty sec 115 Mohali,"Sector 115, Mohali",2,1,1050
15000,1bhk furnished ind floor rent 15kFamily prefer sunny Enclave sec 125,"Sector 125, Mohali",1,1,1050
16000,1 BHK fully furnished in Gated Society,"Sector 126, Mohali",1,1,850
30000,"Shiwalik Palm City, Sector 127, Kharar
Gated Society 
2nd Floor","Sector 127, Kharar",3,3,1050
24000,2 BHK FLAT FOR RENT SUNNY ENCLAVE,"Sunny Enclave, Kharar",2,2,1800
40000,3 BHK FLAT FOR RENT TDI 117 PRESTIGE TOWER,"Sector 117, Mohali",3,3,1600
25000,3 BHK KOTHI FOR RENT SUNNY ENCLAVE,"Sunny Enclave, Kharar",3,3,950
17000,2 BHK HOUSE FOR RENT SUNNY ENCLAVE 125,"Sunny Enclave, Kharar",2,2,1400
32000,Flat in amayra city for families,"Khanpur, Kharar",3,3,1400
36000,Independent Fully Furnished Floor in Aerocity,"Airport Road, Mohali",2,2,2700
18000,1bhk owner free flat available,"Guru Teg Bahadur Nagar, Kharar",2,2,995
18000,3 BHK FLAT FOR RENT SUNNY ENCLAVE 123,"Sunny Enclave, Kharar",3,3,1480
36000,3 BHK FLAT FOR RENT TDI 117 DREAM IKON,"Sector 117, Mohali",3,3,1400
15000,1 RK FLAT FOR RENT SBP GARDANIA,"Sector 117, Mohali",1,1,1400
25500,3 BHK FLAT FOR RENT,"Sector 126, Kharar",3,3,1700
15500,1 BHK FLAT FOR RENT 123,"Sunny Enclave, Kharar",1,1,750
22000,2 BHK FLAT FOR RENT SUNNY ENCLAVE 125,"Sunny Enclave, Kharar",2,2,2100
24000,2 BHK FLAT FOR RENT TDI 117,"Sector 117, Mohali",2,2,900
25000,2 BHK FLAT FOR RENT SUNNY ENCLAVE,"Sunny Enclave, Kharar",2,2,1400
26000,2 BHK FLAT FOR RENT TDI 117,"Sector 117, Mohali",2,2,1400
21000,2 BHK FLAT FOR RENT SUNNY ENCLAVE 123,"Sunny Enclave, Kharar",2,2,1800
22000,2 BHK FLAT FOR RENT SUNNY ENCLAVE 123,"Sunny Enclave, Kharar",2,2,1400
12000,House for rent,"Guru Teg Bahadur Nagar, Kharar",1,1,500
18000,Rental accommodation,"New Hari Enclave, Kharar",2,2,1500
12000,2 bhk for small faimily including water bill and bed mattress,"Jandpur, Mohali",2,2,900
24000,3bhk flat for rent,"Sector 123, Mohali",3,3,1100
15000,2 bhk for rent independent floor,"Sector 123, Mohali",2,2,1500
10000,1Room fully furnished @10k only,"Sector 127, Kharar",1,3,1200
20000,Independent House for Rent,"Guru Teg Bahadur Nagar, Kharar",2,2,1200
16500,3 BHK FLAT / 300 UNITS FREE,"Sunny Enclave, Kharar",3,3,1350
5000,Independent rooms,"Khanpur, Kharar",1,1,2500
8000,Fully Furnished,"Sunny Enclave, Kharar",1,1,2000
16000,2 BHK FLAT AVAILABE FOR RENT,"Sector 116, Mohali",2,2,1000
5000,I want room mate boy in 1bhk fully furnished,"JTPL Township, Kharar",1,1,1
15000,"1 BHK INDPDNT FLAT  FOR RENT IN SBP NORTH VALLEY, LANDRAN ROAD,KHARAR,","Sante Majra, Kharar",1,1,1100
12000,One fully furnished room available,"Gillco Valley, Kharar",2,2,1000
23000,2 BHK FLAT FOR RENT IN SBP CITY OF DREAM 116,"Shivalik City, Kharar",3,3,2200
14000,"STUDIO APARTMENT FOR RENT  LANDRAN ROAD,KHARAR","Sector 126, Kharar",1,1,700
18000,2bhk furnished rent 18k Green velly sec 127 Royal Property,"Sector 127, Kharar",2,2,1050
18000,2bhk furnished 2nd floor Any party Darpan city Kharar Royal Property,"Khanpur, Kharar",2,2,1050
20000,2bhk family Koth ground floor avlb owner free rent 20k Royal Property,"Main Bazar, Kharar",2,2,1250
18500,2bhk furnished with 2Ac rent 18500k kothi 2nd floor Royal Property,"Sector 123, Mohali",2,2,1050
18500,"2 bhk   ,2 bhk fully furnished flat available for  rent .","Shivalik City, Kharar",2,2,1100
23000,Fully furnished,"Jandpur, Mohali",2,2,1500
15000,1bhk small family/Girls preferWestern homes jhugiya road sec 125 Khara,"Sector 126, Kharar",1,1,1050
12000,3bhk hai 1 master room sharing ch Dena Hai girls preferFully Furnished,"Sector 127, Kharar",1,1,1050
16000,1bhk furnished rent 16k sbp north velly sec 127 Kharar Royal Property,"Sector 127, Kharar",1,1,1050
32000,2bhk job class party prefe Wellington Heights Royal Property,"Sector 117, Mohali",2,2,1250
22000,3bhk Appartment  semi furnished rent 22k sunny view Royal Property,"Sector 125, Mohali",3,3,1250
19000,2bhk 2washroom kitchen hall onlyWestern homes jhugiya road Kharar,"Sector 126, Kharar",2,2,1050
22000,Furnished rent 22k Any party white city sec 114 Mohali2bhk 2nd floor g,"Sector 114, Mohali",2,2,1050
40000,3bhk 9marla kothi owner free 1st floor long term party prefer rent 40k,"Sector 123, Mohali",3,3,1450
30000,3bhk furnished rent 30k  omega city Khanpur Kharar Royal Property,"Khanpur, Kharar",3,2,1050
16500,2bhk furnished rent 16500k  Gulmohar city male Allowed Royal Property,"Sector 115, Kharar",2,2,1050
13500,2 BHK NEWLY BUILT HOUSE FOR RENT FOR FAMILY CHD HIGHWAY NEAR KHARAR,"Mundi Kharar Ward No 4, Kharar",2,2,1500
18000,2 bhk independent house for rent,"Sector 125, Mohali",2,2,900
28000,3 bhk fully for rent  boys girls family Shivalik city Royal Property,"Sector 127, Kharar",3,3,1050
13000,2bhk rent 13k semi furnished family working bachelors Royal Property,"Sector 115, Kharar",2,1,1050
20000,"Duplex  for Rent 124 kharar any person  124, Kharar Royal Property","Sector 124, Mohali",3,2,1050
25000,3bhk Duplex villa 2bhk in ground  1bhk in 1st rent 25 Royal Property,"Sector 123, Mohali",3,3,1450
16000,1 BHK FOR RENT SUNNY ENCLAVE 123,"Sunny Enclave, Kharar",1,1,980
18000,2 BHK FLAT FOR RENT 126 DRISHTI HOME,"Sector 126, Kharar",2,2,1500
25000,1/2/3 BHK FLAT FOR RENT SUNNY ENCLAVE 123,"Sunny Enclave, Kharar",1,1,1200
16000,2 BHK FLAT FOR RENT SUNNY ENCLAVE 123,"Sunny Enclave, Kharar",2,2,1100
10000,Room for rent near sunny enclave mundi kharar near main road no pets,"Mundi Kharar Ward No 3, Kharar",2,2,1000
14500,Fully furnished 1BRK,"New Hari Enclave, Kharar",1,1,1050
14000,2bhk for rent,"Khanpur, Kharar",2,2,990
16000,3BHK Ground Floor for Rent Rs. 16000 only,"Sector 126, Mohali",3,2,1350
30000,3bhk flat for families,"Khanpur, Kharar",3,3,1425
21000,Flat / Apartment for rent in 127 sector kharar,"Sector 127, Kharar",2,2,950
22500,Fully furnished 2bhk,"Sector 123, Mohali",2,2,1500
14000,"1bhk rent 14k Family working bechlors Shivalik Homes 2, Royal Property","Sector 127, Kharar",1,1,1050
20000,2 bhk furnished for rent Shivalik city kharar 127  Royal Property,"Sector 127, Kharar",2,2,1050
18000,3bhk rent 18k semi furnished  Sunny Enclave sec 125  Royal Property,"Sector 125, Mohali",3,2,1250
17000,2 bhk Shivalik city 127 Kharar 1st floor owner free kot Royal Property,"Sector 127, Kharar",2,2,1050
