price,title,location,bhk,bathroom,area
30000,3bhk Fully Furnished everything in flat,"Sector 117, Mohali",3,3,1900
5999,FOR GIRLS ONLY  fully furnished.,"Sector 59, Mohali",1,1,1500
11500,2 bedroom kitchen bath for other state FAMILY phase 3b2 mohali,"Sector 60 Phase 3B2, Mohali",2,1,5654
36000,3 BHK fully furnished House floor sector 89,"Sector 89, Mohali",3,2,1800
11000,Two bedroom set for leaving family/ boys phase 6 Mohali,"Sector 56, Mohali",2,1,1000
23000,Owner free 2BHK  First floor for family/boys sector  55 chandigarh,"Phase 1, Mohali",2,2,1000
56000,3 BHK fully furnished flat owner free independent,"Sector 91, Mohali",3,3,2250
38500,3bhk semi furnished flat available for Rent in gillco parkhills,"Sector 126, Mohali",3,2,1560
18000,ACME FLOOR A UNIT OF TDI,"Sector 110, Mohali",2,2,1050
9000,One  bedroom set for boys phase phase 3-A Mohali,"Sector 53, Mohali",1,1,800
15000,Two bedroom set fully furnished  for family phase 1 Mohali,"Phase 1, Mohali",2,1,800
17000,3 BHK independent floor for family phase 1 Mohali,"Phase 1, Mohali",3,2,1000
15000,Owner free two bedroom set for family phase 1 Mohali,"Phase 1, Mohali",2,1,700
14000,Two bedroom set for  family/ boys/ girls phase 1 Mohali,"Phase 1, Mohali",2,1,1000
7000,One bedroom set  semi-furnished for boy phase 3-A Mohali,"Sector 53, Mohali",1,1,600
18000,Three bedroom bathroom set for family phase 1  Mohali,"Phase 1, Mohali",3,1,1000
21000,Owner free 3 BHK modular kitchen bath for FAMILY phase 3b2  mohali,"Sector 71, Mohali",3,2,5004
17000,2 BHK kitchen bath facing park for FAMILY phase 3b1 mohali,"Sector 60 Phase 3B2, Mohali",2,2,5000
30000,2bhk fully furnished i furnished flat in sector 77 sc for family,"Sector 77, Mohali",2,2,2200
16000,1bhk fully furnished room available in sharing for girll,"Sector 89, Mohali",1,2,950
45000,3bhk semi furnished indipendent,"Sector 86, Mohali",3,3,1480
46000,3bhk well furnishd,"Sector 77, Mohali",3,3,1600
35000,2BHK FULL FURNISHED,"Sector 79, Mohali",2,2,2500
29000,2bhk fully furnished flat available for rent for all,"Sector 89, Mohali",2,2,1550
38000,3bhk flat available for rent  fully Furniture available for all,"Sector 88, Mohali",3,2,2250
23000,2bhk fully furnished,"Sector 117, Mohali",2,2,1500
18500,2bhk fully furnished khera enlave,"Sector 117, Mohali",2,2,1100
15000,"One bhk with Hall Fully Furnished in Sector 68, Mohali","Sector 68, Mohali",1,1,100
27000,Available for rent 2bhk semi furnished 1st floor Sector 79 Mohali,"Sector 79, Mohali",2,2,499
41000,Available for rent 3bhk unfurnished Ground floor Sector 89 Mohali,"Sector 89, Mohali",3,3,2700
22000,Owner Free 3BHK Flat for for Rent,"Sector 97, Mohali",3,3,1800
25000,Tolet mohali,"Sector 59 Phase 5, Mohali",2,2,1000
40000,3bhk (7 phase mohali),"Industrial Area Phase 7, Mohali",3,3,4300
25000,2bhk 117 tdi airport road,"Sector 117, Mohali",2,2,1480
12000,One Room Kitchen Bathroom complete set. Furnished.,"Sector 61, Mohali",1,1,500
17000,sbp north valley independent flat,"Landran, Mohali",1,1,1250
13000,1 AC One Room Set Full Furnished Full independent brokerage 50%,"Sector 70, Mohali",1,1,1000
28500,"Sec 89 2bhk
30k
For boys/girls
Owner free
Avl frm 1st Royal property","Sector 89, Mohali",2,2,1050
28000,2bhk furnished house floor available for rent sector 89,"Sector 89, Mohali",2,2,1800
35000,3bhk furnished house floor available for rent sector 89,"Sector 89, Mohali",3,3,1800
28000,2BHK Semi furnished Floor,"Sector 85, Mohali",2,2,2250
20500,( OWNER FREE 3 BEDROOM + HALL FOR FAMILY ) IN SECTOR 74 MOHALI,"Sector 74, Mohali",3,2,1888
21000,( OWNER FREE 3 BHK FOR FAMILY ) IN SECTOR 74 NEAR 8B MOHALI,"Sector 74, Mohali",3,2,1999
21000,Sector 98 2 bhk Near CGC,"Sector 98, Mohali",2,1,1250
21000,2bhk top floor sector 89 rent-21k furnished,"Sector 89, Mohali",2,1,1000
22000,First floor for rent,"Sector 79, Mohali",2,1,1100
9500,Single independent room in sector 91,"Sector 91, Mohali",1,1,900
33000,3BR for rent - Immediately available - Family only,"Sector 76, Mohali",3,2,2498
95000,4bhk semi furnished flat available in Marbella Grand,"Sector 88, Mohali",4,4,3000
45000,3+1bhk apartment for rent,"Sector 120, Mohali",4,4,2200
38000,independent owner free House floor sector 79,"Sector 79, Mohali",3,3,2700
18000,1 AC+Refrigerator+RO+ 2 Double bed+Gyster+Fan,"Sector 126, Mohali",2,2,1200
18000,1bhk furnished house floor available for rent sector 85,"Sector 85, Mohali",1,1,1000
45000,3bhk semi furnished flat available for rent sector 85 wave estate,"Sector 85, Mohali",3,3,2250
18500,2 Bedroom Set for Working Boys,"Sector 60 Phase 3B2, Mohali",2,1,1800
13000,"1BHK, 2BHK, 3BHK flats available for rent","Sector 126, Kharar",1,1,100
