Model,MAE,MSE,RMSE,R2
All Features,2409.6467135550865,15406626.231641049,3925.127543359712,0.9156139240189238
Property Type,2744.5693290327918,18939556.42574814,4351.960067113224,0.8962631517399495
Furnishing,2660.6471692818623,19350744.27309514,4398.948087110729,0.8940109695680047
Baseline,3040.4631175068107,23207172.3510017,4817.382313144941,0.8728883157238143
Area Category,3040.744230694424,23290764.31838788,4826.050592191081,0.8724304609017915
