Feature,Importance
BHK,0.327484295297532
Location,0.30297035240134496
Area,0.17375999195357786
Bathroom,0.1106148511909433
Property Type,0.03870708820422716
Furnishing,0.03742665223577012
City,0.00625635915514501
Area Category,0.0027804095614596155
