Feature,Importance
"location_Sector 43, Chandigarh",0.0006300166332465413
area_category_Large,0.000628535881208679
"location_Sector 19B, Chandigarh",0.0006223606817371736
"location_Sector 86, Mohali",0.0006156426448018775
"location_Sector 65, Mohali",0.0006094350756425291
"location_Mauli, Mohali",0.0006041142308133089
"location_Sector 110, Mohali",0.0005866824655906412
"location_Sector 48, Chandigarh",0.0005865684963672776
"location_Rajpura, Nalagarh",0.0005804075830727617
"location_Sector 53, Mohali",0.0005713083317445551
"location_Sector 116, Mohali",0.0005662653222234045
"location_Lohgarh, Zirakpur",0.0005438857263182899
"location_Sector 21C, Chandigarh",0.0005422818911011725
"location_Sector 22D, Chandigarh",0.0005405229047033751
"location_Sector 15, Panchkula",0.000533647413988335
"location_Sector 15A, Chandigarh",0.000530051919129352
"location_Zirakpur, Punjab",0.0004994498521512059
"location_Sector 76, Mohali",0.0004975788725897093
"location_Sector 124, Mohali",0.0004940139335029536
"location_Baltana Village, Zirakpur",0.0004884622499344568
"location_Sector 60, Mohali",0.000483507674068098
"location_Sector 38 West, Chandigarh",0.0004811804683463369
"location_Lakhnaur, Mohali",0.00047437482574550394
"location_Sector 19C, Chandigarh",0.00046831440493493763
"location_Chajju Majra, Mohali",0.00046534978417201014
"location_MDC Sector 5, Panchkula",0.00046421441192941957
"location_Bhago Majra, Mohali",0.0004619652561246757
"location_MS Enclave, Zirakpur",0.00045782844727191034
"location_JTPL Township, Kharar",0.00045636179854517927
"location_Sector 44C, Chandigarh",0.00044977714142827046
"location_Sector 42B, Chandigarh",0.00044602975522394406
"location_Bakarpur 264, Mohali",0.00043215483402514384
"location_MDC Sector 4, Panchkula",0.0004309462701429752
"location_Sector 18B, Chandigarh",0.00042979483592529426
"location_Main Bazar, Kharar",0.000427196212882393
"location_Sector 16, Panchkula",0.0004042874636614916
"location_Sector 127, Mohali",0.0004023628400904568
"location_Focal Point, Dera Bassi",0.00039873861460913604
"location_Sector 49 Sai Enclave, Chandigarh",0.00039651035324318225
"location_Sector 21, Panchkula",0.00039404076932482955
"location_Harialpur, Mohali",0.00038909352948599137
"location_Sector 26, Panchkula",0.0003888533989906949
"location_Sector 19, Zirakpur",0.0003855701170066023
"location_Sector 30B, Chandigarh",0.00038135674731172776
"location_Daliml Vihar, Rajpura",0.0003809017384409888
"location_Sector 23D, Chandigarh",0.0003774821274383517
"location_Sector 36C, Chandigarh",0.00037720095432027055
"location_Sector 45A, Chandigarh",0.00037088134682866885
"location_MDC Sector 6, Panchkula",0.0003695613877242732
